;Prim;BFS;A-Star;IDA;path Length
773;20480;28672;12288;4974;66
774;21065;29549;17261;11703;58
775;20187;28965;9362;2926;66
776;21065;22821;10240;7022;58
777;20773;43008;10825;4973;62
778;21650;28964;14336;8777;62
779;21358;26332;9948;2926;62
780;20480;28379;11117;5851;58
781;20772;28380;10825;3218;70
782;21358;42715;23698;8192;70
783;21065;21650;13751;6436;58
784;21065;25453;12873;5559;66
785;21943;30428;23406;8777;66
786;21650;24869;12581;4389;62
787;22235;31012;29549;13751;86
788;20480;21650;11410;4096;62
789;20480;58807;23698;9362;74
790;24283;22820;10532;3218;62
791;20480;28087;26039;10533;58
792;21943;29842;29842;13166;70
793;21066;25454;11410;4388;58
794;21358;26624;11703;9070;58
795;20480;23991;11995;9655;66
796;21065;28965;20772;11411;62
797;21943;23406;9947;3218;62
798;21651;25454;9655;3218;58
799;20773;28087;12873;5266;74
800;20480;22821;10533;4389;62
801;21357;31598;779704;6144;58
802;26917;38620;19895;8777;62
803;22821;30720;23991;9947;58
804;22821;30135;11410;8192;66
805;21357;30135;16970;7606;58
806;21943;32476;11703;2926;62
807;20773;30135;38327;15799;70
808;22821;26916;11410;4388;62
809;21065;26332;10533;3511;62
810;21943;29842;10825;5851;58
811;20187;38912;11118;3511;58
812;22821;32475;16677;13458;62
813;22821;27794;15799;11118;66
814;20480;22528;11118;4974;58
815;20773;19895;9655;3511;58
816;21065;29550;14629;5852;62
817;21358;28672;36571;13165;62
818;21066;30720;25161;11118;66
819;20480;27209;9947;3218;66
820;20480;29843;23113;8777;58
821;22236;30428;31305;12873;58
822;21065;31305;16676;5266;74
823;21943;32768;13166;4388;66
824;22235;21651;13458;6437;62
825;20187;23991;14043;5559;74
826;24284;33061;39498;10240;74
827;21942;31598;21358;9655;62
828;21358;31597;16091;10240;58
829;21358;21650;9655;3511;62
830;75191;30427;14629;4681;58
831;20480;20187;12288;7607;62
832;21358;43008;27502;11410;62
833;21066;25454;14336;6144;62
834;21650;28965;15799;5851;58
835;22528;29549;14629;5267;66
836;21065;24869;19895;6144;74
837;22528;27209;10240;6729;62
838;22528;26624;14629;6144;70
839;21357;26039;13166;5266;58
840;22528;31305;13458;5559;58
841;22235;31305;18432;7899;66
842;36571;29550;34816;12873;62
843;23991;31305;18139;9655;58
844;20773;29257;11118;4388;62
845;20773;26624;15213;8192;58
846;20480;50908;64366;7899;66
847;21650;25162;48274;4096;66
848;21943;27501;10825;3804;58
849;21065;30428;21066;10532;58
850;21065;16092;10240;4096;58
851;21358;29257;15214;8484;66
852;20772;29842;19017;9362;74
853;21357;29549;21358;8777;62
854;21065;19895;11118;4681;66
855;20772;22528;13458;3804;70
856;21358;24868;10533;6144;58
857;20480;29550;20480;7900;70
858;20480;23406;8484;2048;58
859;20772;21358;10240;6144;62
860;20772;30135;14921;6729;66
861;20480;28672;13751;5851;70
862;21357;31306;19895;6144;70
863;21943;30427;19894;8484;58
864;23990;30720;11703;3804;58
865;21065;20772;11118;5266;62
866;21650;28672;9655;3511;58
